iso3,year,rent_pct_gdp
AUT,2016,0.111042441021613
AZE,2016,14.7854023448198
BDI,2016,19.1016499815056
BEL,2016,0.0303780062977737
BEN,2016,4.4537224695981
BFA,2016,12.6155172354896
BGD,2016,0.716140756665905
BGR,2016,0.526340830586215
BHR,2016,9.6486154919148
BHS,2016,0.0174296477466322
BIH,2016,1.04695668588363
BLR,2016,1.24276957113325
BLZ,2016,0.707884094800211
BMU,2016,0.0
BOL,2016,2.97275312620724
BRA,2016,2.43013532231265
BRB,2016,0.0966644797426343
BRN,2016,15.6737709259074
BTN,2016,4.43640193256866
BWA,2016,0.762292638118151
CAF,2016,13.0582628938186
CAN,2016,0.786494936523475
CEB,2016,1.01617172341156
CHE,2016,0.0105099534065671
CHL,2016,3.20569572328577
CHN,2016,1.0524740832802
CIV,2016,3.23053071841614
CMR,2016,5.36737216526029
COD,2016,20.5721227000572
COG,2016,17.0000392659621
COL,2016,3.09947714544169
COM,2016,2.50675650816682
CPV,2016,10.1923207968108
CRI,2016,1.23322083330008
CSS,2016,3.66924244498466
CUB,2016,0.469100172114536
CUW,2016,0.0
CYM,2016,0.0
CYP,2016,0.001471313805814
CZE,2016,0.310276297011828
DEU,2016,0.0642202510440344
DJI,2016,0.484424417766637
DMA,2016,0.0602343950060558
DNK,2016,0.342477974632511
DOM,2016,1.2819479321571
DZA,2016,12.8191814025545
EAP,2016,1.35869612252409
EAR,2016,4.00297329201751
EAS,2016,1.07865319908631
ECA,2016,2.61699252052715
ECS,2016,0.935584556746372
ECU,2016,3.75806780861528
EGY,2016,3.20908060820144
EMU,2016,0.08490147744046
ESP,2016,0.0419317249195144
EST,2016,1.24687276023764
ETH,2016,11.2339790417281
EUU,2016,0.193986422910799
FCS,2016,9.89076081078345
FIN,2016,0.410118656271692
FJI,2016,1.01936465398214
FRA,2016,0.0401901593813067
FRO,2016,0.0
FSM,2016,0.0360496232316334
GAB,2016,11.6621945364629
GBR,2016,0.273025131582337
GEO,2016,0.572435838705115
GHA,2016,8.64980290681468
GIN,2016,18.1063644814226
GMB,2016,6.56105812711213
GNB,2016,18.7015046109056
GNQ,2016,16.4599653575836
GRC,2016,0.0905977627072228
GRD,2016,0.0
GRL,2016,0.0
GTM,2016,2.01829626064269
GUM,2016,0.0
GUY,2016,16.0895528527279
HIC,2016,1.08892739057188
HKG,2016,0.0013699235032017
HND,2016,2.01566335667541
HPC,2016,8.39233752742837
HRV,2016,0.511310613664342
HTI,2016,0.790216838420377
HUN,2016,0.227029691782411
IBD,2016,2.54785711969442
IBT,2016,2.71145137454404
IDA,2016,4.67454753948499
IDB,2016,3.93833530531909
IDN,2016,2.66818993930963
IDX,2016,5.30080838777165
IMN,2016,0.0
IND,2016,1.74839023532939
IRL,2016,0.0652248713159719
IRN,2016,13.1358103039789
IRQ,2016,33.2189217237902
ISL,2016,0.0002523353870072
ISR,2016,0.184759592739644
ITA,2016,0.0473051811205066
JAM,2016,1.28914557442918
JOR,2016,1.12573697471708
JPN,2016,0.0251768652546394
KAZ,2016,11.0336820575133
KEN,2016,2.65839831359762
KGZ,2016,5.61349048423669
KHM,2016,1.84795765204296
KIR,2016,0.0826063804854857
KNA,2016,0.0
KOR,2016,0.0331101931364819
KWT,2016,32.3641255908565
LAC,2016,2.19560203674003
LAO,2016,4.35259193269181
LBN,2016,0.0013728364357897
LBR,2016,20.1143619477823
LBY,2016,12.2468654255016
LCA,2016,0.0242375524260307
LCN,2016,2.17713113288111
LDC,2016,6.80830861188081
LIC,2016,9.85650298205675
LIE,2016,0.0020723262556876
LKA,2016,0.120808775080832
LMC,2016,2.63572966418891
LMY,2016,2.46541767257853
LSO,2016,7.27012601835192
LTE,2016,2.5489517557962
LTU,2016,0.3377588483904
LUX,2016,0.0100663139177463
LVA,2016,0.983550850681886
MAC,2016,0.0007663392910052
MAR,2016,2.89821223160529
MCO,2016,0.0
MDA,2016,0.268595627765572
MDG,2016,8.77277190379424
MDV,2016,0.0066332699905883
MEA,2016,12.9747531629514
MEX,2016,1.97524669608099
MHL,2016,0.0
MIC,2016,2.35911856803426
MKD,2016,0.866322047138143
MLI,2016,8.99083015150657
MLT,2016,0.0
MMR,2016,6.8108721648708
MNA,2016,10.7574653022251
MNE,2016,0.837536371542947
MNG,2016,10.050012393618
MNP,2016,0.0
MOZ,2016,16.3133886142564
MRT,2016,8.04558334879584
MUS,2016,0.0271234375700913
MWI,2016,10.9739875833904
MYS,2016,5.20040474859063
NAC,2016,0.339519851276952
NAM,2016,2.60379046438201
NCL,2016,0.013426159178997
NER,2016,9.68635453036973
NGA,2016,4.65772615666869
NIC,2016,3.11297731611032
NLD,2016,0.251209116098856
NOR,2016,3.86709464602749
NPL,2016,1.03122054018578
NRU,2016,0.0
NZL,2016,1.04750029579275
OED,2016,0.437659195884298
OMN,2016,18.0527768334822
OSS,2016,4.14785518443546
PAK,2016,0.96533124558749
PAN,2016,0.131004580785833
PER,2016,4.40523816648386
PHL,2016,0.661597167675748
PLW,2016,0.0
PNG,2016,14.3368397378808
POL,2016,2.02624729962296
