"Data Source","World Development Indicators",

"Last Updated Date","2025-04-15",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Costa Rica","CRI","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3","3","3","3.03546193741007","3","3.03538959317313","4.7","4.8","4.8","28.8","28.8","28.2",
"Caribbean small states","CSS","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3.28918140719214","3.37745957973877","3.63295814337735","","6.29244900426619","","6.29624239773555","6.31976082013558","6.31976082013558","6.31976082013558","6.31976082013558","6.44274796006819",
"Cuba","CUB","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.9","4.9","4.9","7.18434684613918","7.2","7.18462280816919","6.7","6.7","6.7","6.7","6.7","6.9",
"Curacao","CUW","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.3","0.258181114051507","0.3","0.258715834177835","0.3","0.3","0.3","0.3","0.3","0.3",
"Cayman Islands","CYM","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","0.1","0.1","0.103424001708164","0.1","0.1034531661285","0.1","0.1","0.1","0.1","0.1","0.1",
"Cyprus","CYP","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1.9","1.7","1.7","1.68711670729969","1.7","1.68708521970488","3.4","11.2","11.2","11.2","11.2","11.1",
"Czechia","CZE","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","21.9","21.8","21.7","21.6859243630073","22.2","22.1556760039807","22.2","22.2","22.2","22.2","22.2","21.9",
"Germany","DEU","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","38.9","38.5","38.5","38.7268950286066","38.8","38.7874034693079","38.5","38.8","38.5","38.7","38.7","40.1",
"Djibouti","DJI","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.1","1.2","1.2","1.32295288625376","1.3","1.23209428640264","1.2","1.2","1.2","1.2","1.2","1.2",
"Dominica","DMA","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","0.6","0.6","0.6","0.586134695785929","0.7","0.673332200010968","0.6","0.6","0.6","0.6","0.6","0.6",
"Denmark","DNK","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","17.6","20.5","20.5","17.7570683242766","20.7","17.9276418331277","17.7","17.9","17.9","17.9","17.9","17.7",
"Dominican Republic","DOM","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","11","11.2","11.2","11.2019393392716","11.2","19.2157370412977","19.2","19.2","19.2","18.7","18.7","15.3",
"Algeria","DZA","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.1","7.1","7.1","7.10549985987089","7.1","7.10549311732352","7.1","4.4","4.4","4.4","4.4","4.4",
"East Asia & Pacific (excluding high income)","EAP","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7.38061627215839","7.40475426669036","7.40691899768002","","7.44551682569594","","7.13784048552293","7.27684217467316","7.33055354306765","7.33438301094439","7.33793105962876","7.31637698445618",
"Early-demographic dividend","EAR","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","8.46248354819368","8.47154590978657","8.58636072253037","","8.80447495288974","","8.90898909007816","8.94894518455168","9.22206467856166","9.43280747391341","9.79625874014153","10.0391219887295",
"East Asia & Pacific","EAS","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","12.0095636503805","14.7868134988285","14.0417227344091","","15.4033620166799","","15.4236188353157","15.5451685124365","16.213951278978","16.2161164379245","16.2089179263762","16.5220966050165",
"Europe & Central Asia (excluding high income)","ECA","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4.06904762884222","3.73459698071191","3.74621070335686","","3.84098067661105","","3.8867122733416","7.69467112297058","9.62019287975092","9.65895161673521","9.90731684818059","11.0973699752335",
"Europe & Central Asia","ECS","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","10.3300576678509","9.8264559780073","9.90312957921042","","10.7483840059478","","11.0335138677006","12.3665699437316","12.8982828572295","12.9082081962178","12.6948863724285","12.9559573155454",
"Ecuador","ECU","Terrestrial and marine protected areas (% of total territorial area)","ER.PTD.TOTL.ZS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15.4","15.4","14.4","14.3964327518509","14.4","14.955139706334","15","15.1","15.3","20","20","20.1",
