iso3,curr_renew,curr_co2,new_renew,new_co2,delta_co2,pct_reduction
MLT,4.5,5.973355346955046,14.5,5.941387925502825,-0.031967421452220535,0.5351669136596088
MLT,4.5,5.973355346955046,24.5,5.90832992989737,-0.06502541705767584,1.0885911398327062
MLT,4.5,5.973355346955047,34.5,5.883583346993906,-0.08977199996114038,1.5028739250696377
MLT,4.5,5.973355346955047,54.5,5.883583346993907,-0.08977199996113949,1.5028739250696228
MMR,72.0,0.4310926247730477,82.0,0.4310926247730477,0.0,0.0
MMR,72.0,0.43109262477304766,92.0,0.4310926247730476,-5.551115123125783e-17,1.2876850134117264e-14
MMR,72.0,0.43109262477304766,102.0,0.43109262477304766,0.0,0.0
MMR,72.0,0.4310926247730477,122.0,0.43109262477304766,-5.551115123125783e-17,1.2876850134117264e-14
MNE,46.0,3.5993650414274607,56.0,3.5993650414274603,-4.440892098500626e-16,1.2337987526653943e-14
MNE,46.0,3.59936504142746,66.0,3.5993650414274603,4.440892098500626e-16,1.2337987526653946e-14
MNE,46.0,3.5993650414274603,76.0,3.59936504142746,-4.440892098500626e-16,1.2337987526653946e-14
MNE,46.0,3.59936504142746,96.0,3.5993650414274603,4.440892098500626e-16,1.2337987526653946e-14
MNG,3.3,11.021021672527125,13.3,10.893812487072015,-0.12720918545510962,1.1542413147794899
MNG,3.3,11.021021672527123,23.3,10.859558772048443,-0.16146290047868028,1.4650447596992775
MNG,3.3,11.021021672527125,33.3,10.806730834138364,-0.21429083838876117,1.9443826965964417
MNG,3.3,11.02102167252713,53.3,10.806730834138364,-0.2142908383887665,1.9443826965964892
MOZ,81.2,0.2722372772073516,91.2,0.27193509550544676,-0.0003021817019048245,0.11099938443575659
MOZ,81.2,0.2722372772073514,101.2,0.27193509550544664,-0.000302181701904769,0.11099938443573626
MOZ,81.2,0.2722372772073516,111.2,0.2719350955054467,-0.00030218170190488003,0.11099938443577698
MOZ,81.2,0.27223727720735147,131.2,0.2719350955054467,-0.000302181701904769,0.11099938443573623
MRT,31.0,0.7605355155220465,41.0,0.7548560211532528,-0.005679494368793669,0.7467756932948955
MRT,31.0,0.7605355155220465,51.0,0.7514107124412525,-0.009124803080793997,1.1997865838692037
MRT,31.0,0.7605355155220465,61.0,0.7474419777183635,-0.013093537803682942,1.7216208232820371
MRT,31.0,0.7605355155220465,81.0,0.7442190200530303,-0.016316495469016146,2.145395597708042
MSR,24.3,3.903928005962985,34.3,3.7379418605370107,-0.16598614542597412,4.251772706167777
MSR,24.3,3.9039280059629844,44.3,3.721436250006829,-0.1824917559561552,4.67456765794378
MSR,24.3,3.9039280059629826,54.3,3.7214362500068296,-0.18249175595615297,4.674567657943726
MSR,24.3,3.9039280059629844,74.3,3.7215471981078285,-0.18238080785515587,4.671725697210133
MTQ,24.3,0.2261595315866765,34.3,0.19930896191425732,-0.026850569672419194,11.872402407293018
MTQ,24.3,0.22615953158667648,44.3,0.18796782985836116,-0.03819170172831532,16.887062623614522
MTQ,24.3,0.22615953158667645,54.3,0.1879678298583612,-0.038191701728315264,16.887062623614497
MTQ,24.3,0.22615953158667648,74.3,0.1882256305378612,-0.03793390104881528,16.773071991563164
MUS,10.6,3.3053094588922924,20.6,3.300255537551657,-0.0050539213406355366,0.15290312158333447
MUS,10.6,3.3053094588922924,30.6,3.2802199376473085,-0.02508952124498398,0.7590672388476517
MUS,10.6,3.3053094588922924,40.6,3.2677404016882603,-0.03756905720403214,1.1366275282624414
MUS,10.6,3.305309458892292,60.6,3.263131760271594,-0.04217769862069787,1.2760589937268045
MWI,82.8,0.10137251380398657,92.8,0.10107033210208179,-0.0003021817019047829,0.298090370422381
MWI,82.8,0.10137251380398656,102.8,0.1010703321020818,-0.00030218170190475513,0.29809037042235365
MWI,82.8,0.10137251380398657,112.8,0.10107033210208177,-0.00030218170190479676,0.2980903704223947
MWI,82.8,0.10137251380398657,132.8,0.1010703321020818,-0.000302181701904769,0.29809037042236736
MYS,3.0,8.309264758306593,13.0,8.232035260011205,-0.07722949829538805,0.9294384105186129
MYS,3.0,8.309264758306593,23.0,8.22231506489454,-0.08694969341205372,1.0464186175453367
MYS,3.0,8.309264758306592,33.0,8.1716322738693,-0.13763248443729204,1.6563738000971002
MYS,3.0,8.309264758306592,53.0,8.154594896019299,-0.1546698622872924,1.8614145389057715
NAM,30.2,2.054666403068134,40.2,2.0526627895306335,-0.0020036135375005593,0.0975152722850123
NAM,30.2,2.054666403068135,50.2,2.0526627895306335,-0.0020036135375014474,0.0975152722850555
NAM,30.2,2.0546664030681345,60.2,2.0526627895306335,-0.0020036135375010033,0.09751527228503389
NAM,30.2,2.0546664030681336,80.2,2.0526627895306344,-0.002003613537499227,0.09751527228494748
NER,78.1,0.1245453841351829,88.1,0.1235586784567924,-0.000986705678390501,0.7922458830907133
NER,78.1,0.12454538413518289,98.1,0.12355867845679237,-0.0009867056783905148,0.7922458830907246
NER,78.1,0.12454538413518289,108.1,0.12355867845679244,-0.0009867056783904454,0.7922458830906688
NER,78.1,0.1245453841351829,128.1,0.12355867845679244,-0.0009867056783904593,0.7922458830906799
NGA,79.9,0.8963757594478243,89.9,0.8963757594478243,0.0,0.0
NGA,79.9,0.8963757594478243,99.9,0.8963757594478244,1.1102230246251565e-16,1.2385687731103574e-14
NGA,79.9,0.8963757594478244,109.9,0.8963757594478243,-1.1102230246251565e-16,1.2385687731103572e-14
NGA,79.9,0.8963757594478242,129.9,0.8963757594478241,-1.1102230246251565e-16,1.2385687731103574e-14
NIC,53.0,0.8019590008021187,63.0,0.7979389510267855,-0.004020049775333212,0.5012787151602965
NIC,53.0,0.8019590008021189,73.0,0.7967188702334522,-0.005240130568666679,0.6534162673435304
NIC,53.0,0.8019590008021187,83.0,0.7967188702334522,-0.005240130568666457,0.653416267343503
NIC,53.0,0.8019590008021189,103.0,0.7967188702334522,-0.005240130568666679,0.6534162673435304
NLD,5.6,9.77488635019793,15.6,9.754987571906263,-0.019898778291667085,0.20357043119242157
NLD,5.6,9.774886350197932,25.6,9.747961120406263,-0.02692522979166867,0.27545312371967845
NLD,5.6,9.774886350197932,35.6,9.747961120406263,-0.02692522979166867,0.27545312371967845
NLD,5.6,9.77488635019793,55.6,9.747961120406261,-0.02692522979166867,0.2754531237196785
NOR,55.8,9.191924466982638,65.8,9.19192446698264,1.7763568394002505e-15,1.9325189689938363e-14
NOR,55.8,9.191924466982636,75.8,9.191924466982636,0.0,0.0
NOR,55.8,9.19192446698264,85.8,9.191924466982643,3.552713678800501e-15,3.865037937987672e-14
NOR,55.8,9.191924466982636,105.8,9.191924466982636,0.0,0.0
NPL,84.0,0.260189767510219,94.0,0.25988758580831417,-0.0003021817019048245,0.11613896457052497
